Iteration 0, loss=0.6947906613349915
{'demanded': 0.22751504, 'charts': 0.22997317, 'spider': 0.23228359, 'discusses': 0.23424318, 'gpl': 0.23680127, 'concludes': 0.23871538, 'dog': 0.258714, 'cookies': 0.26274016, 'struggle': 0.31184146, 'eight': 1.0}
Iteration 100, loss=0.6961941719055176
Iteration 200, loss=0.6944373846054077
Iteration 300, loss=0.6836151480674744
Iteration 400, loss=0.6835975646972656
Iteration 500, loss=0.6893622279167175
Iteration 600, loss=0.6814449429512024
Iteration 700, loss=0.6870507597923279
Iteration 800, loss=0.7006951570510864
Iteration 900, loss=0.6990394592285156
Iteration 1000, loss=0.6848066449165344
Iteration 1100, loss=0.6897444725036621
Iteration 1200, loss=0.6824198365211487
Iteration 1300, loss=0.6952718496322632
Iteration 1400, loss=0.6786296963691711
Iteration 1500, loss=0.6931615471839905
Iteration 1600, loss=0.7615327835083008
Iteration 1700, loss=0.7068021893501282
Iteration 1800, loss=0.6984639167785645
Iteration 1900, loss=0.7004411816596985
Iteration 2000, loss=0.6930212378501892
Iteration 2100, loss=0.6884653568267822
Iteration 2200, loss=0.6969899535179138
Iteration 2300, loss=0.6955738067626953
Iteration 2400, loss=0.6788066029548645
Iteration 2500, loss=0.6954358220100403
Iteration 2600, loss=0.6847643852233887
Iteration 2700, loss=0.6995189785957336
Iteration 2800, loss=0.6962564587593079
Iteration 2900, loss=0.6872590184211731
Iteration 3000, loss=0.680284857749939
Iteration 3100, loss=0.687192440032959
Iteration 3200, loss=0.6960021257400513
Iteration 3300, loss=0.7049141526222229
Iteration 3400, loss=0.7111048698425293
Iteration 3500, loss=0.6667002439498901
Iteration 3600, loss=0.7149033546447754
Iteration 3700, loss=0.6672998070716858
Iteration 3800, loss=0.7205739617347717
Iteration 3900, loss=0.7231329083442688
Iteration 4000, loss=0.7072638869285583
Iteration 4100, loss=0.6977068185806274
Iteration 4200, loss=0.7115311622619629
Iteration 4300, loss=0.724597156047821
Iteration 4400, loss=0.7035025954246521
Iteration 4500, loss=0.6768020391464233
Iteration 4600, loss=0.7220963835716248
Iteration 4700, loss=0.6672381162643433
Iteration 4800, loss=0.7158939242362976
Iteration 4900, loss=0.7181155681610107
Iteration 5000, loss=0.7162408232688904
Iteration 5100, loss=0.6941590905189514
Iteration 5200, loss=0.6245079040527344
Iteration 5300, loss=0.7105053067207336
Iteration 5400, loss=0.671308159828186
Iteration 5500, loss=0.7019585967063904
Iteration 5600, loss=0.6640052199363708
Iteration 5700, loss=0.6824359893798828
Iteration 5800, loss=0.6722286939620972
Iteration 5900, loss=0.6907341480255127
Iteration 6000, loss=0.7223261594772339
Iteration 6100, loss=0.7361584305763245
Iteration 6200, loss=0.733330488204956
Iteration 6300, loss=0.6424931287765503
Iteration 6400, loss=0.6666552424430847
Iteration 6500, loss=0.6557084321975708
