Iteration 0, loss=0.6961103081703186
{'caves': 0.17491367, 'flanders': 0.17676915, 
'create': 0.1788035, 'ptolemy': 0.18184382, 
'echo': 0.18994877, 'proclamation': 0.19311565,
'engine': 0.19577911, 'en': 0.20256217, 
'chemist': 0.22437553, 'eight': 0.99999994}
Iteration 100, loss=0.6950560808181763
Iteration 200, loss=0.7066856622695923
Iteration 300, loss=0.6844891905784607
Iteration 400, loss=0.6878616809844971
Iteration 500, loss=0.7001006603240967
Iteration 600, loss=0.7028549909591675
Iteration 700, loss=0.695557713508606
Iteration 800, loss=0.6820178627967834
Iteration 900, loss=0.6940968632698059
Iteration 1000, loss=0.6824803948402405
Iteration 1100, loss=0.6780829429626465
Iteration 1200, loss=0.6865186095237732
Iteration 1300, loss=0.6849204897880554
Iteration 1400, loss=0.6850599050521851
Iteration 1500, loss=0.6964013576507568
Iteration 1600, loss=0.6724995374679565
Iteration 1700, loss=0.7616450190544128
Iteration 1800, loss=0.7340439558029175
Iteration 1900, loss=0.6704329252243042
Iteration 2000, loss=0.6487345099449158
Iteration 2100, loss=0.6589829921722412
Iteration 2200, loss=0.6598089337348938
Iteration 2300, loss=0.6587949991226196
Iteration 2400, loss=0.717441976070404
Iteration 2500, loss=0.6658410429954529
Iteration 2600, loss=0.6657004952430725
Iteration 2700, loss=0.7252692580223083
Iteration 2800, loss=0.6932677030563354
Iteration 2900, loss=0.719697892665863
Iteration 3000, loss=0.6710646748542786
Iteration 3100, loss=0.677893340587616
Iteration 3200, loss=0.703981339931488
Iteration 3300, loss=0.6748880743980408
Iteration 3400, loss=0.7304421663284302
Iteration 3500, loss=0.685600996017456
Iteration 3600, loss=0.7068643569946289
Iteration 3700, loss=0.6994416117668152
Iteration 3800, loss=0.653666615486145
Iteration 3900, loss=0.7069087624549866
Iteration 4000, loss=0.6076622009277344
Iteration 4100, loss=0.6384180188179016
Iteration 4200, loss=0.6971395015716553
Iteration 4300, loss=0.6764855980873108
Iteration 4400, loss=0.7010093927383423
Iteration 4500, loss=0.7501065731048584
Iteration 4600, loss=0.7217198610305786
Iteration 4700, loss=0.6469963788986206
Iteration 4800, loss=0.745635986328125
Iteration 4900, loss=0.6803456544876099
Iteration 5000, loss=0.6993383169174194
Iteration 5100, loss=0.6330154538154602
Iteration 5200, loss=0.6771295070648193
Iteration 5300, loss=0.6907755136489868
Iteration 5400, loss=0.706984281539917
Iteration 5500, loss=0.6884793043136597
Iteration 5600, loss=0.6804327964782715
Iteration 5700, loss=0.7395113110542297
Iteration 5800, loss=0.6182078719139099
Iteration 5900, loss=0.6155185103416443
Iteration 6000, loss=0.6646413803100586
Iteration 6100, loss=0.6489580273628235
Iteration 6200, loss=0.7155836224555969
Iteration 6300, loss=0.6881459355354309
Iteration 6400, loss=0.6477993726730347
Iteration 6500, loss=0.5945404767990112
Iteration 6600, loss=0.7067948579788208
Iteration 6700, loss=0.548714280128479
Iteration 6800, loss=0.8166553378105164
Iteration 6900, loss=0.7782047986984253
Iteration 7000, loss=0.7215681076049805
Iteration 7100, loss=0.6130388975143433
Iteration 7200, loss=0.6478142142295837
Iteration 7300, loss=0.6505095362663269
Iteration 7400, loss=0.7002168297767639
Iteration 7500, loss=0.7553370594978333
Iteration 7600, loss=0.7034736275672913
Iteration 7700, loss=0.6904059648513794
Iteration 7800, loss=0.6749697923660278
Iteration 7900, loss=0.6963555216789246
Iteration 8000, loss=0.5325904488563538
Iteration 8100, loss=0.635816216468811
Iteration 8200, loss=0.6662194132804871
Iteration 8300, loss=0.6472085118293762
Iteration 8400, loss=0.6354414224624634
Iteration 8500, loss=0.7077348232269287
Iteration 8600, loss=0.747795045375824
Iteration 8700, loss=0.6791666746139526
Iteration 8800, loss=0.6000657081604004
Iteration 8900, loss=0.4835597574710846
Iteration 9000, loss=0.5866291522979736
Iteration 9100, loss=0.645420491695404
Iteration 9200, loss=0.6891895532608032
Iteration 9300, loss=0.6872852444648743
Iteration 9400, loss=0.5932942032814026
Iteration 9500, loss=0.8696865439414978
Iteration 9600, loss=0.6895287036895752
Iteration 9700, loss=0.6281444430351257
Iteration 9800, loss=0.7482625842094421
Iteration 9900, loss=0.6654091477394104
Iteration 10000, loss=0.6725945472717285
{'sixty': 0.43766066, 'been': 0.44170704, 'feb': 0.44560522, 'congressional': 0.4501068, 'they': 0.46030298, 'introduced': 0.46283314, 'around': 0.5101038, 'legend': 0.539113, 'lb': 0.60880256, 'eight': 1.0}
Iteration 10100, loss=0.6516620516777039
Iteration 10200, loss=0.650982677936554
Iteration 10300, loss=0.5909990072250366
Iteration 10400, loss=0.6652916073799133
Iteration 10500, loss=0.7933564186096191
Iteration 10600, loss=0.7491223812103271
Iteration 10700, loss=0.7080031037330627
Iteration 10800, loss=0.7077683806419373
Iteration 10900, loss=0.6705633997917175
Iteration 11000, loss=0.6906460523605347
Iteration 11100, loss=0.6913586854934692
Iteration 11200, loss=0.6899747848510742
Iteration 11300, loss=0.6222668886184692
Iteration 11400, loss=0.5734408497810364
Iteration 11500, loss=0.7017709016799927
Iteration 11600, loss=0.7424123287200928
Iteration 11700, loss=0.4618774950504303
Iteration 11800, loss=0.4493570327758789
Iteration 11900, loss=0.6543413400650024
Iteration 12000, loss=0.6065410375595093
Iteration 12100, loss=0.7534744739532471
Iteration 12200, loss=0.4349095821380615
Iteration 12300, loss=0.5222020149230957
Iteration 12400, loss=0.7180050611495972
Iteration 12500, loss=0.5771641135215759
Iteration 12600, loss=0.9527827501296997
Iteration 12700, loss=0.645357608795166
Iteration 12800, loss=0.7123533487319946
Iteration 12900, loss=0.6451895236968994
